m_chi10,m_stop
382.4000,571.8000
387.6000,576.8000
392.8000,581.8000
398.2000,586.8000
403.9000,591.8000
410.3000,596.9000
414.5000,600.1000
416.8000,601.9000
423.4000,606.9000
430.1000,611.9000
434.4000,614.9000
437.5000,616.9000
442.7000,620.3000
445.2000,621.9000
448.7000,624.3000
448.6000,621.9000
447.9000,618.5000
446.9000,616.9000
443.3000,611.9000
439.5000,606.9000
435.6000,601.9000
432.4000,597.9000
431.7000,596.9000
428.2000,591.8000
424.5000,586.8000
420.8000,581.8000
418.9000,579.4000
417.4000,576.8000
414.6000,571.8000
413.7000,569.2000
418.0000,571.8000
425.8000,576.3000
430.5000,575.9000
431.2000,571.8000
431.2000,571.7000
429.9000,566.8000
429.3000,564.7000
427.8000,561.8000
425.1000,556.7000
422.6000,553.0000
421.7000,551.7000
417.4000,546.7000
413.0000,541.7000
408.9000,536.7000
405.0000,531.7000
400.9000,526.6000
399.2000,524.6000
396.7000,521.6000
392.7000,516.6000
388.8000,511.6000
385.0000,506.6000
382.1000,502.5000
381.5000,501.6000
377.9000,496.6000
374.1000,491.5000
373.1000,490.2000
369.9000,486.5000
373.3000,490.4000
