m_chi10,m_chi1pm
280.5600,546.3700
280.1700,547.1300
279.8000,547.8800
279.4300,548.6600
279.0800,549.4000
278.7100,550.2000
278.3600,550.9500
278.0100,551.7300
277.6600,552.5000
277.3100,553.2600
276.9400,554.0500
276.6000,554.8000
276.2300,555.5900
275.8800,556.3400
275.5200,557.1100
275.1500,557.8800
274.7900,558.6300
274.3900,559.4100
274.0200,560.1400
273.6200,560.9100
273.2000,561.6500
272.7800,562.3900
272.3500,563.1200
271.8900,563.8500
271.4300,564.5600
270.9400,565.2600
270.4200,565.9800
269.9100,566.6400
269.3500,567.3400
268.7800,568.0100
268.2000,568.6700
267.5900,569.3100
266.9400,569.9600
266.2900,570.5900
265.6300,571.2000
264.9200,571.8200
264.1800,572.4200
263.4300,573.0000
262.6500,573.5600
261.8300,574.1000
260.9400,574.6300
260.0200,575.1300
259.0300,575.6200
258.0000,576.1000
256.9600,576.5300
255.9000,576.9800
254.8100,577.3900
253.6800,577.7800
252.4900,578.1900
251.2900,578.5700
250.0900,578.9300
248.8700,579.3000
247.6400,579.6600
246.4000,580.0100
245.1300,580.3700
243.8800,580.7200
242.6400,581.0600
241.3500,581.4200
240.1100,581.7600
238.8700,582.1100
237.6400,582.4700
236.4100,582.8400
235.2000,583.2100
234.0100,583.6100
232.8700,584.0100
231.7800,584.4200
230.7100,584.8600
229.7000,585.3000
228.7000,585.7600
227.6900,586.2600
226.7300,586.7500
225.8100,587.2500
224.9100,587.7800
224.0700,588.3000
223.2200,588.8400
222.3700,589.4000
221.5600,589.9500
220.7900,590.5100
219.9900,591.0900
219.2200,591.6600
218.4700,592.2500
217.7300,592.8300
216.9800,593.4200
216.2500,594.0200
215.5200,594.6100
214.8100,595.2100
214.0800,595.8200
213.3600,596.4200
212.6500,597.0100
211.9100,597.6100
211.1700,598.2100
210.4400,598.7900
209.7000,599.3800
208.9400,599.9600
208.1700,600.5500
207.4000,601.1200
206.6200,601.6800
205.8000,602.2500
204.9900,602.8100
204.1900,603.3400
203.3400,603.9000
202.4700,604.4400
201.6100,604.9600
200.7200,605.4800
199.8200,606.0000
198.8900,606.5000
197.9300,607.0000
196.9900,607.4800
196.0200,607.9500
194.9900,608.4300
193.9500,608.8900
192.9500,609.3300
191.8900,609.7800
190.8200,610.2200
189.7400,610.6400
188.6100,611.0800
187.5000,611.4900
186.4000,611.8900
185.2600,612.2800
184.0700,612.6800
182.8700,613.0700
181.6700,613.4500
180.4900,613.8200
179.2600,614.1800
178.0300,614.5300
176.7800,614.8700
175.4800,615.2200
174.1500,615.5600
172.8000,615.8800
171.5100,616.1800
170.1800,616.4900
168.8100,616.7900
167.4300,617.0700
166.0300,617.3500
164.6300,617.6200
163.1600,617.8900
161.6800,618.1600
160.2300,618.4200
158.8100,618.6700
157.3900,618.9100
155.9000,619.1700
